Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Fashion Design,University of Southampton,2024,"Fashion design, Fashion, Arts and crafts, Art, Design",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Winchester School of Art, Park Avenue, None, Winchester, SO23 8DL, Unknown"
"Journalism, Media and Communications",Swansea University,2024,"Journalism, Media studies, Communication studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Singleton Park Campus, Singleton Park, None, Swansea, SA2 8PP, Unknown"
Food Science and Nutrition,Cardiff Metropolitan University,2024,"Food, Nutrition, Food science, Human biology, Dietetics, Food analysis, Food microbiology, Food processing, Food studies, Biochemistry, Health education",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Cardiff Met - Llandaff, Cardiff Metropolitan University, , Cardiff, CF5 2YB, Unknown"
Fine Art (with Integrated International Foundation & Professional Practice Years) (Canterbury),University for the Creative Arts,2024,"Arts, Fine art, Creative arts, Creative studies, Painting, Drawing, Modern art, Visual arts, Sculpture, Printmaking",Full-time including foundation year,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Canterbury, New Dover Road, None, Canterbury, CT1 3AN, Unknown"
Sociology,"London School of Economics and Political Science, University of London",2024,Sociology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Houghton Street, None, London, WC2A 2AE, Unknown"
Public Health,University of Bedfordshire,2024,"Public health, Community health, Health administration, Public service",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Luton Campus, Park Square, , Luton, LU1 3JU, Unknown"
Social Work,The University of Edinburgh,2024,Social work,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Music,Newcastle University,2024,"Music, Music performance",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Newcastle), King's Gate, None, Newcastle upon Tyne, NE1 7RU, Unknown"
Biomedical and Healthcare Engineering,"City, University of London",2024,"Biological sciences, Biomedical engineering, Biomedical sciences, Computer engineering, Electrical engineering, Electronic engineering, Health science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, The Admissions Office, , London, EC1V 0HB, Unknown"
Sports Coaching and Performance Science (with Foundation Year),University of Hull,2024,"Sports coaching, Sports studies, Sports science, Exercise science, Physical education",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Mathematics (PGDE - Graduates only),University of Strathclyde,2024,"Mathematics, Teaching (secondary teaching), Mathematics (secondary teaching), Teaching, Educational studies",Full-time,"{'quantity': 9, 'durationType': {'id': '3', 'mappedCaption': None, 'caption': 'Months'}}","University of Strathclyde, McCance Building, None, Glasgow, G1 1XQ, Unknown"
Physics,University of Hertfordshire,2024,Physics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Admissions Service, , Hatfield, AL10 9AB, Unknown"
"Urban Design, Planning and Development",Oxford Brookes University,2024,"Urban development, Town planning, Planning, Development planning",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Gipsy Lane, None, Oxford, OX3 0BP, Unknown"
Art and Design (Graphic Design) (Tattoo),"South Thames College Group (inc Carshalton, South Thames and Kingston College)",2024,"Arts, Visual arts, Creative arts, Design, Graphic design, Fashion design, Fashion, Calligraphy, Art, European art, Italian art, Fine art, Modern art, Drawing, Life drawing, Graphic arts, Illustration, Concept art",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Kingston College, Kingston Hall Road, None, Kingston upon Thames, KT2 5AQ, Unknown"
Chemical Engineering,The University of Edinburgh,2024,"Chemical engineering, Biochemical engineering, Industrial engineering, Energy engineering, Petroleum engineering",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Architecture,UCL (University College London),2024,Architecture,Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , London, WC1E 6BT, Unknown"
Fine Art with Diploma in Creative Computing,Norwich University of the Arts,2024,"Fine art, Arts, Visual arts, Creative arts, Design, Community arts",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Norwich University of the Arts, Francis House, , Norwich, NR2 4SN, Unknown"
Physics,Imperial College London,2024,"Physics, Applied physics, Astrophysics, Atomic physics, Engineering physics, Experimental physics, Computational physics, Laser physics, Mathematical physics, Quantum gravity, Quantum mechanics, Mechanics, Mathematics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Imperial College, , London, SW7 2AZ, Unknown"
Engineering,Nelson and Colne College Group,2024,"Engineering, Engineering mathematics, Manufacturing engineering, Robotics, Computer aided engineering, Aerodynamics, Aircraft engineering, Renewable energy, Computation engineering",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Nelson Campus, Scotland Road, None, Nelson, BB9 7YT, Unknown"
Public Health,Middlesex University,2024,Public health,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hendon Campus, The Burroughs, , London, NW4 4BT, Unknown"
Nutrition,Liverpool John Moores University,2024,"Nutrition, Food science, Dietetics, Food analysis, Food",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Liverpool John Moores University, Student Recruitment and Admissions, Tithebarn Street, Liverpool, L2 2QP, Unknown"
Marketing,University of Hertfordshire,2024,Marketing,Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Admissions Service, , Hatfield, AL10 9AB, Unknown"
Anthropology/International Relations,Oxford Brookes University,2024,"Anthropology, International relations",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Gipsy Lane, None, Oxford, OX3 0BP, Unknown"
Marketing,University of Essex,2024,Marketing,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Southend Campus, 10 Elmer Approach, , Southend, SS1 1LW, Unknown"
Events Management with Hospitality,University of Essex,2024,"Events management, Hospitality management, Hospitality services, Leisure studies, Tourism",Full-time (intensive),"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Colchester Campus, University of Essex, , Colchester, CO4 3SQ, Unknown"
Early Years Education and Care,Nottingham College,2024,"Sociology, Social sciences, Health sociology, Social policy, Social research, Applied psychology, Occupational psychology, Applied social sciences, Social psychology, Mental health, Youth work, Psychology, Organisational behaviour, Family and personal care services, Medicine and health studies, Health studies, Community health, Community work, Family welfare, Hearing-impaired people, Disability studies, Health care, Health education, Occupational health, Primary health care, Social care, Child care, Community care, Visually-impaired children, Visually-impaired people, Social work, Rehabilitation, Residential care, Social work management, Social problems, Child protection, Educational welfare, Deaf studies, Social studies, Human rights, Urban studies, Youth studies, Youth development, Child studies, Applied sociology, Social administration, Social service planning, Housing, Public health, Public policy, Health visiting, Teaching, Teaching (FE teaching), Teaching (primary teaching), General primary (primary teaching), Information technology (primary teaching), Education, Study skills, Adult education, Bilingual education, Careers guidance, Educational counselling, Community education, Comparative education, Continuing education, Life skills, Educational management, Educational administration, Educational planning, Educational research, Educational studies, Educational technology, Learning, Educational assessment, Child development, Learning support, Hospital play specialist studies, Medical education, Multicultural education, Outdoor education, Survival, Outdoor pursuits, Playgroup practice, Special needs, Learning disability studies, Teaching the visually impaired, Teaching the hearing impaired, Special educational needs coordination, Teacher education, ICT for teachers, Curriculum studies, Pastoral care, Training, Industrial training, Training development, Training for trainers, Inclusive practice, Urban education, Basic skills, Numeracy, Literacy, English language teaching, TEFL, TESL, TESOL, Early childhood studies, Early years, Key skills, Playwork, Teaching assistant studies, Science (primary teaching), Art (primary teaching), Craft (primary teaching), Creative arts (primary teaching), Dance (primary teaching), Design (primary teaching), Drama (primary teaching), English (primary teaching), Environment (primary teaching), French (primary teaching), Geography (primary teaching), History (primary teaching), Humanities (primary teaching), Mathematics (primary teaching), Modern languages (primary teaching), Music (primary teaching), Nursery schools (primary teaching), Physical education (primary teaching), Religious education (primary teaching), Technology (primary teaching), Teaching (secondary teaching), Access",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City Hub, Nottingham College - City Hub, , Nottingham, NG1 7HB, Unknown"
Building Surveying,University of Central Lancashire,2024,"Building surveying, Architectural building studies, Architectural engineering, Architectural technology, Environmental design, Building, Building trades, Building services, Building maintenance, Building control, Building management, Building technician studies, Built environment, Construction management, Construction engineering, Clerk of works studies, Site management, Construction technology, Surveying, Engineering surveying, Property, Estate agency, Estate management, Land management, Planning, Country planning, Development planning, Town planning, Urban development, Urban regeneration, Property management, Valuation",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions Office, , Preston, PR1 2HE, Unknown"
Materials Science and Engineering,Swansea University,2024,"Engineering, Materials science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Bay Campus, Fabian Way, None, Swansea, SA1 8EN, Unknown"
Aerospace Engineering,University of Bath,2024,"Aerospace engineering, Engineering, Aeronautical engineering, Mechanical engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Claverton Down, , Bath, BA2 7AY, Unknown"
Marketing,Keele University,2024,"Marketing, Consumer studies, Customer relations, Fashion merchandising, Market research, Public relations, Advertising, Brand management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Keele University, None, Keele, ST5 5BG, Unknown"
Adventure Education,University of the Highlands and Islands (UHI),2024,"Outdoor education, Outdoor pursuits, Exercise science, Sports coaching, Educational planning, Child development, Training development, Survival, Climate studies, Educational philosophy, Sports psychology, Educational psychology, Risk management, Ethics, Educational studies, Adventure tourism",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","North, West and Hebrides, UHI North West and Hebrides, None, Thurso, KW14 7EE, Unknown"
Accounting,Durham University,2024,"Accounting, Management accounting, Information technology, Taxation",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Durham City, Palatine Centre, , Durham, DH1 3HP, Unknown"
Drama & Theatre,York St John University,2024,"Dance, Theatre studies, Performing arts",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","York St John University, Lord Mayor's Walk, , York, YO31 7EX, Unknown"
Early Childhood and Sport & Exercise Science,Liverpool Hope University,2024,"Child development, Child psychology, Child studies, Early childhood studies, Educational assessment, Educational psychology, Educational sociology, Educational studies, Educational welfare, Biomechanics, Exercise and fitness, Exercise science, Health and disease, Health and fitness therapy, Health care, Movement studies, Physical education, Physiology, Physiotherapy",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Criminology,University of Hull,2024,"Criminology, Social sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Criminology,Coventry University,2024,"Criminology, Human rights, Social research, Legal sociology, Government, Modern studies, Applied social sciences, Applied sociology, Social policy",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Priory Street, None, Coventry, CV1 5FB, Unknown"
Global Business Management (Logistics and Supply Chain) Completion Award,"Northumbria University, Newcastle",2024,"Business and management, Entrepreneurial studies, Business innovation, Strategic studies, Business administration",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Northumbria University London Campus, 110 Middlesex Street, None, London, E1 7HT, Unknown"
International Relations,Lancaster University,2024,International relations,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Graphic Design,London College of Contemporary Arts,2024,"Arts, Visual communication, Graphic design, Graphic communication, Design, Drawing, Graphic arts, Illustration, Communication design",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Sceptre Court, Sceptre Court, 40 Tower Hill, None, London, EC3N 4DX, Unknown"
Criminology,London Metropolitan University,2024,Criminology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Holloway, 166-220 Holloway Road, , Islington, N7 8DB, Unknown"
Architecture,University of Cambridge,2024,Architecture,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Newnham, Sidgwick Road, None, Cambridge, CB3 9DF, Unknown"
Civil Engineering,The University of Edinburgh,2024,"Civil engineering, Structural engineering, Environmental engineering, Geotechnical engineering, Engineering design, Water engineering",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Civil Engineering,Heriot-Watt University,2024,Civil engineering,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Edinburgh Campus, Riccarton, None, Edinburgh, EH14 4AS, Unknown"
Hospitality Management,London College,2024,Hospitality management,Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, 680, None, Hounslow, TW5 9QX, Unknown"
Physics,University of Glasgow,2024,"Applied physics, Physics",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Aerospace Engineering,"Bristol, University of the West of England",2024,"Aerospace engineering, Aircraft engineering, Aviation, Engineering",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Frenchay Campus, Coldharbour Lane, , Bristol, BS16 1QY, Unknown"
Pharmacy,University of Portsmouth,2024,"Pharmacy, Medicine (general and para-medical), Pharmaceutical sciences, Pharmacology, Biomedical sciences, Chemistry, Biology, Physiology, Neurobiology, Human biology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University House, , Portsmouth, PO1 2UP, Unknown"
Civil Engineering,University of Greenwich,2024,"Civil engineering, Environment, Engineering mathematics, Geotechnical engineering, Water engineering, Hydraulic engineering",Part-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Greenwich (Medway Campus), Central Avenue, None, Chatham, ME4 4TB, Unknown"
Anthropology,Oxford Brookes University,2024,Anthropology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Gipsy Lane, None, Oxford, OX3 0BP, Unknown"
Children's Nursing,University of Chester,2024,"Childrens nursing, Nursing, Medicine (general and para-medical)",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Chester, Parkgate Road, None, Chester, CH1 4BJ, Unknown"
Archaeology and Anthropology,University of Exeter,2024,"Archaeology, Anthropology, Anthropological archaeology, Social biology, Human geography",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Exeter - Exeter campuses, Northcote House, Exeter, Devon, EX4 4QJ, Unknown"
Pharmacy,Ulster University,2024,Pharmacy,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Coleraine, University House, , Coleraine, BT52 1SA, Unknown"
Biochemistry,Aberystwyth University,2024,"Biochemistry, Cell biology, Molecular biochemistry, Molecular biology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Biotechnology with Foundation Year,Liverpool John Moores University,2024,"Biotechnology, Molecular biology, Cell biology, Microbiology, Biochemistry, Science",Sandwich including foundation year,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Liverpool John Moores University, Student Recruitment and Admissions, Tithebarn Street, Liverpool, L2 2QP, Unknown"
Hospitality Business Management,Leeds Beckett University,2024,"Management, Business studies, Hospitality management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Headingley Campus, Beckett Park, , Leeds, LS6 3QS, Unknown"
"Wildlife, Ecology and Conservation Science",University of Suffolk,2024,"Wildlife management, Environmental conservation, Coastal conservation, Coastal management, Environmental science, Zoology, Marine biology, Freshwater biology, Environmental sustainability, Environmental protection",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Suffolk, Waterfront Building, , Ipswich, IP4 1QJ, Unknown"
Artisan Food Production,Nottingham Trent University,2024,"Food production, Bakery, Food, Patisserie, Chef studies, Cookery, Food studies, Food preparation, Food technology, Food science, Nutrition, Food processing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Brackenhurst Campus, Nottingham Trent University, , Southwell, NG25 0QF, Unknown"
Marine Biology (with Foundation Year),Bangor University,2024,"Marine biology, Marine Conservation, Natural science, Marine science, Marine pollution, Field biology",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bangor University, None, Bangor, Gwynedd, LL57 2DG, Unknown"
Technical Theatre,University of the Highlands and Islands (UHI),2024,"Theatre studies, Theatre production, Theatre sound, Sound engineering, Visual arts, Health and safety",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Perth, UHI Perth, None, Perth, PH1 2NX, Unknown"
Musical Theatre and Special Educational Needs,Liverpool Hope University,2024,"Music, Music appreciation, Music composition, Music editing, Music performance, Music theory, Musicology, Performing arts, Popular music, Singing, Musical theatre, Production, Critical thinking, Choreography, Movement studies, Creative studies, Disability studies, Education, Educational assessment, Educational counselling, Educational philosophy, Educational psychology, Educational sociology, Educational studies, Educational welfare, Inclusive practice, Special educational needs coordination, Special needs",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Marketing,Manchester Metropolitan University,2024,Marketing,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Division, All Saints, Manchester, M15 6BH, Unknown"
Environmental Science,Bath Spa University,2024,"Environmental science, Climate studies, Environmental studies, Marine biology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Newton Park, None, Bath, BA2 9BN, Unknown"
Sports and Exercise Science (Study Abroad 4yr),Lancaster University,2024,"Exercise science, Sports science",Full-time with time abroad,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Business Management,Buckinghamshire New University,2024,"Management, Business studies, Human resource management, Business and management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Buckinghamshire New University, Queen Alexandra Road, None, High Wycombe, HP11 2JZ, Unknown"
Acoustical Engineering with Industrial Placement Year,University of Southampton,2024,"Engineering, Acoustical engineering, Architectural acoustics, Vibration, Sound engineering, Noise control, Acoustics, Signal processing, Music technology, Mechanics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Occupational Therapy (Pre-registration) MSc,"St George's, University of London",2024,"Physiotherapy, Medicine (general and para-medical), Medicine and surgery, Physiology, Human biology, Health studies, Health care, Occupational therapy, Psychology, Social care, Nursing, Disability studies, Learning disability studies, Nursing (learning disabilities), Mental health, Hospital support services",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","St George's, University Of London, Cranmer Terrace, , London, SW17 0RE, Unknown"
Computer Science,University of Warwick,2024,"Computer science, Information technology, Computer applications, Computer engineering, Computers, Computer keyboarding, Artificial intelligence, Neural networks, Computer communication, Computer networks, Computer simulation, Statistical computing, Computer programming, Computer languages, C language, C++ language, Cobol, Java, Javascript, Pascal, Fifth generation languages programming, Delphi, Visual basic, Computer graphics, Digital imaging, Computer installation, Internet technology, Web design, Computer games, Data analysis, Computer studies, Applied computer studies, Computer literacy, Computer management studies, Database studies, Multimedia studies, Mathematics, Applied mathematics, Computational mathematics, Engineering computation, Medical computation, Numerical analysis, Computing mathematics, Engineering mathematics, Mathematical logic, Mathematical methods, Software engineering, Information systems, Management information systems, Telematics, Computer information systems, Informatics, Health informatics, Geographical information systems, Software, Virtual reality systems design, Database design, Object oriented programming, Systems, Systems analysis, Systems engineering, Systems management, Computer maintenance",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic Office, , Coventry, CV4 7AL, Unknown"
Business Management and Mathematics,Liverpool Hope University,2024,"Business studies, Management, Mathematics, Business administration, Business communication, Business economics, Business innovation, Economics, Ethics, Finance, Human resource management, Management development, Management economics, Management services, Market research, Marketing, Operations management, Organisational studies, Research methods, Small business studies, Strategic management, Algebra, Analytical mathematics, Applied mathematics, Applied statistics, Calculus, Complex analysis, Computational mathematics, Financial decision making, Informatics, Statistics, Pure mathematics, Probability, Numerical analysis, Numeracy, Mathematical models, Mathematical methods, Mathematical statistics, Mathematical logic, Differential equations, Engineering mathematics, Mathematical economics, Mathematical engineering, Mathematics for business",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Journalism,"City, University of London",2024,Journalism,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, The Admissions Office, , London, EC1V 0HB, Unknown"
Communication Design,Heriot-Watt University,2024,"Communication design, Design, Photography, Illustration",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Scottish Borders, Heriot-Watt University, Netherdale, Galashiels, TD1 3HE, Unknown"
Education and Mathematics (with Foundation Year),Liverpool Hope University,2024,"Education, Educational studies, Critical theory, Educational assessment, Educational welfare, Mathematics, Analytical mathematics, Mathematical statistics, Pure mathematics, Algebra, Critical thinking, Disability studies, Educational counselling, Educational philosophy, Educational psychology, Educational sociology",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Public Health and Health Improvement (Top-up),Newcastle College University Centre,2024,"Public health, Health care, Community health, Health studies",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Rye Hill Campus, , Newcastle upon Tyne, NE4 7SA, Unknown"
Graphic Design,University of Brighton,2024,"Graphic design, Graphic communication, Graphic arts, Visual communication, Communication skills, Communication design, Printing, Book production, Lithography, Typography, Animation, Illustration, Visual arts, Art, Arts, Display design, Exhibition design, Design theory, Editorial design, Media design, Surface pattern design, Packaging design, Drawing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Brighton, Mithras House, , Brighton, BN2 4AT, Unknown"
